index_main,token,rtt,rssi
1,6,3125,-54
1,7,4687,-54
1,8,4687,-54
1,9,6250,-54
1,10,4688,-54
1,11,6250,-54
1,12,4688,-54
1,13,17188,-54
1,14,17187,-54
1,15,6250,-54
1,16,6250,-54
1,17,6250,-54
1,18,4687,-54
1,19,6250,-54
1,20,4687,-54
2,6,6250,-53
2,7,4688,-53
2,8,6250,-53
2,9,4687,-53
2,10,4687,-53
2,11,4687,-53
2,12,4687,-53
2,13,6250,-53
2,14,17188,-53
2,15,4687,-54
2,16,4688,-54
2,17,4688,-54
2,18,4688,-54
2,19,4688,-54
2,20,4687,-54
3,6,6250,-53
3,7,6250,-52
3,8,6250,-52
3,9,6250,-53
3,10,6250,-52
3,11,6250,-52
3,12,6250,-53
3,13,18750,-52
3,14,6250,-52
3,15,6250,-52
3,16,4687,-52
3,17,4687,-52
3,18,6250,-53
3,19,6250,-52
3,20,6250,-53
4,6,4687,-53
4,7,4687,-53
4,8,4687,-53
4,9,4687,-53
4,10,6250,-53
4,11,4688,-52
4,12,4688,-52
4,13,7813,-53
4,14,6250,-53
4,15,4687,-53
4,16,4687,-53
4,17,17188,-53
4,18,4688,-53
4,19,4688,-53
4,20,3125,-53
5,6,4688,-53
5,7,6250,-53
5,8,4687,-53
5,9,4687,-53
5,10,4687,-53
5,11,4688,-53
5,12,4688,-53
5,13,4688,-53
5,14,3125,-53
5,15,3125,-53
5,16,4688,-53
5,17,4688,-52
5,18,3125,-52
5,19,4687,-52
5,20,4687,-53
6,6,4688,-53
6,7,3125,-53
6,8,4688,-53
6,9,17187,-53
6,10,4687,-53
6,11,4687,-53
6,12,3125,-53
6,13,4688,-53
6,14,4688,-53
6,15,4688,-53
6,16,3125,-53
6,17,3125,-53
6,18,3125,-53
6,19,4687,-53
6,20,3125,-53
7,6,15625,-56
7,7,3125,-54
7,8,3125,-54
7,9,4688,-54
7,10,3125,-54
7,11,4687,-54
7,12,4687,-54
7,13,3125,-54
7,14,3125,-54
7,15,4688,-54
7,16,4688,-54
7,17,3125,-54
7,18,15625,-54
7,19,4687,-54
7,20,4687,-54
8,6,3125,-55
8,7,4687,-55
8,8,1563,-55
8,9,1562,-55
8,10,3125,-55
8,11,1563,-55
8,12,3125,-55
8,13,1563,-55
8,14,1563,-55
8,15,0,-55
8,16,1563,-55
8,17,1562,-55
8,18,1562,-55
8,19,3125,-55
8,20,1563,-55
9,6,3125,-55
9,7,3125,-55
9,8,1562,-55
9,9,3125,-55
9,10,3125,-55
9,11,3125,-55
9,12,4688,-55
9,13,4688,-55
9,14,3125,-55
9,15,3125,-55
9,16,3125,-55
9,17,3125,-55
9,18,3125,-55
9,19,3125,-55
9,20,1563,-55
10,6,3125,-55
10,7,3125,-55
10,8,1562,-55
10,9,3125,-55
10,10,3125,-55
10,11,4687,-55
10,12,4687,-55
10,13,4688,-55
10,14,3125,-55
10,15,4687,-54
10,16,4688,-54
10,17,3125,-54
10,18,4688,-54
10,19,17187,-54
10,20,15625,-54
11,6,4687,-55
11,7,6250,-55
11,8,4687,-55
11,9,4688,-55
11,10,4688,-55
11,11,4688,-55
11,12,17188,-55
11,13,3125,-55
11,14,4688,-55
11,15,3125,-55
11,16,3125,-54
11,17,4687,-54
11,18,3125,-54
11,19,4688,-54
11,20,4687,-54
12,6,7812,-54
12,7,4687,-54
12,8,17187,-54
12,9,4687,-54
12,10,6250,-54
12,11,18750,-54
12,12,17188,-54
12,13,4687,-54
12,14,6250,-54
12,15,3125,-54
12,16,4688,-54
12,17,4688,-54
12,18,4687,-54
12,19,4687,-54
12,20,4687,-54
13,6,4687,-54
13,7,17188,-54
13,8,4687,-54
13,9,4687,-54
13,10,6250,-54
13,11,17188,-54
13,12,4688,-54
13,13,3125,-54
13,14,4687,-54
13,15,3125,-55
13,16,3125,-55
13,17,4688,-55
13,18,4688,-54
13,19,3125,-55
13,20,4687,-55
14,6,4688,-55
14,7,6250,-54
14,8,4687,-54
14,9,4687,-54
14,10,17188,-54
14,11,6250,-54
14,12,17188,-54
14,13,4687,-54
14,14,4687,-54
14,15,4688,-54
14,16,4688,-54
14,17,4687,-54
14,18,4687,-54
14,19,4687,-54
14,20,15625,-55
15,6,4688,-55
15,7,3125,-55
15,8,4687,-55
15,9,3125,-55
15,10,17187,-55
15,11,4688,-55
15,12,1562,-55
15,13,28125,-55
15,14,17187,-55
15,15,3125,-55
15,16,3125,-55
15,17,3125,-55
15,18,3125,-55
15,19,15625,-55
15,20,1563,-55
16,6,3125,-55
16,7,17187,-55
16,8,3125,-55
16,9,3125,-54
16,10,4687,-55
16,11,15625,-55
16,12,4688,-55
16,13,4687,-55
16,14,3125,-54
16,15,3125,-54
16,16,1562,-55
16,17,3125,-55
16,18,3125,-55
16,19,3125,-55
16,20,4687,-55
17,6,3125,-55
17,7,3125,-55
17,8,3125,-55
17,9,4688,-55
17,10,1563,-55
17,11,15625,-55
17,12,3125,-55
17,13,3125,-55
17,14,4688,-55
17,15,3125,-55
17,16,1562,-55
17,17,1562,-55
17,18,14063,-55
17,19,3125,-55
17,20,1563,-55
18,6,3125,-55
18,7,3125,-55
18,8,3125,-55
18,9,3125,-54
18,10,3125,-55
18,11,1562,-55
18,12,3125,-54
18,13,4687,-55
18,14,3125,-55
18,15,3125,-55
18,16,3125,-55
18,17,3125,-55
18,18,1562,-55
18,19,3125,-55
18,20,3125,-55
19,6,3125,-55
19,7,1563,-55
19,8,3125,-55
