index_main,token,rtt,rssi
1,6,87500,-71
1,7,85937,-69
1,8,85938,-69
1,9,87500,-69
1,10,85937,-69
1,11,85938,-69
1,12,85938,-69
1,13,85938,-69
1,14,84375,-69
1,15,96875,-68
1,16,98437,-68
1,17,96875,-68
1,18,96875,-68
1,19,98438,-68
1,20,96875,-68
2,6,90625,-69
2,7,101563,-69
2,8,89062,-69
2,9,87500,-69
2,10,87500,-69
2,11,89062,-69
2,12,89063,-69
2,13,90625,-69
2,14,89062,-69
2,15,90625,-69
2,16,101562,-69
2,17,101563,-69
2,18,101563,-69
2,19,89062,-69
2,20,87500,-69
3,6,98438,-71
3,7,101562,-72
3,8,103125,-72
3,9,103125,-72
3,10,103125,-72
3,11,103125,-72
3,12,104688,-72
3,13,104688,-72
3,14,115625,-72
3,15,90625,-71
3,16,103125,-71
3,17,106250,-71
3,18,90625,-71
3,19,92188,-71
3,20,90625,-71
4,6,89063,-73
4,7,100000,-72
4,8,87500,-72
4,9,89063,-72
4,10,87500,-72
4,11,90625,-72
4,12,90625,-72
4,13,90625,-72
4,14,87500,-72
4,15,109375,-70
4,17,112500,-71
4,18,98437,-71
4,19,112500,-71
4,20,101563,-70
5,6,96875,-71
5,7,98438,-70
5,8,98438,-70
5,9,95313,-70
5,10,96875,-70
5,11,96875,-70
5,12,98437,-70
5,13,98438,-70
5,14,96875,-70
5,15,115625,-71
5,16,104688,-71
5,17,101563,-71
5,18,101563,-70
5,19,103125,-70
5,20,103125,-70
6,6,98438,-69
6,7,100000,-70
6,8,100000,-70
6,9,100000,-70
6,10,100000,-69
6,11,100000,-69
6,12,100000,-69
6,13,100000,-69
6,14,100000,-69
6,15,98438,-70
6,16,98437,-70
6,17,98438,-70
6,18,98438,-70
6,19,98437,-70
6,20,98437,-70
7,6,96875,-69
7,7,95313,-69
7,8,106250,-69
7,9,93750,-69
7,10,93750,-69
7,11,93750,-69
7,12,93750,-69
7,13,93750,-69
7,14,93750,-69
7,15,104688,-70
7,16,90625,-70
7,17,92188,-70
7,18,92187,-70
7,19,92188,-70
7,20,92188,-70
8,6,95313,-70
8,7,89062,-71
8,8,90625,-71
8,9,103125,-71
8,10,92187,-71
8,11,90625,-71
8,12,90625,-71
8,13,92187,-71
8,14,92187,-71
8,15,93750,-70
8,16,93750,-70
8,17,95312,-70
8,18,93750,-70
8,19,95313,-70
8,20,93750,-70
9,6,90625,-70
9,7,92188,-70
9,8,93750,-70
9,9,92188,-70
9,10,92187,-70
9,11,90625,-70
9,12,92188,-70
9,13,93750,-70
9,14,92187,-70
9,15,93750,-70
9,16,92188,-70
9,17,92187,-70
9,18,93750,-70
9,19,93750,-70
9,20,107813,-70
10,6,89062,-71
10,7,89063,-71
10,8,89063,-71
10,9,90625,-71
10,10,89062,-71
10,11,89063,-71
10,12,101562,-71
10,13,87500,-71
10,14,101562,-71
10,15,90625,-71
10,16,101562,-70
10,17,89063,-71
10,18,89063,-70
10,19,89063,-70
10,20,90625,-71
11,6,96875,-70
11,7,93750,-70
11,8,93750,-70
11,9,96875,-70
11,10,95313,-70
11,11,93750,-70
11,12,93750,-71
11,13,95313,-70
11,14,95312,-70
11,15,96875,-71
11,16,96875,-71
11,17,96875,-71
11,18,96875,-71
11,19,96875,-71
11,20,96875,-71
12,6,98438,-70
12,7,109375,-71
12,8,96875,-71
12,9,96875,-70
12,10,98438,-70
12,11,109375,-70
12,12,98437,-70
12,13,96875,-70
12,14,98438,-71
12,15,95312,-70
12,16,95313,-70
12,17,95313,-70
12,18,106250,-70
12,19,95313,-70
12,20,93750,-70
13,6,95312,-70
13,7,96875,-69
13,8,96875,-69
13,9,98437,-69
13,10,96875,-69
13,11,96875,-69
13,12,98438,-69
13,13,95312,-69
13,14,96875,-69
13,15,95313,-70
13,16,96875,-70
13,17,96875,-70
13,18,98437,-70
13,19,98437,-70
13,20,98438,-70
14,6,90625,-71
14,7,93750,-71
14,8,95312,-71
14,9,95312,-71
14,10,96875,-71
14,11,96875,-71
14,12,95312,-71
