index,dist_est,rtt_est,rtt_raw
1,1110,74,74
2,1545,103,103
3,1440,96,96
4,1410,94,94
5,1410,94,94
6,1455,97,97
7,1455,97,97
8,1425,95,95
9,1410,94,94
10,1290,86,86
11,1650,110,110
12,1335,89,89
13,1320,88,88
14,1395,93,93
15,1365,91,91
16,1455,97,97
17,1440,96,96
18,1320,88,88
19,1335,89,89
20,1200,80,80
21,1350,90,90
22,1350,90,90
23,1350,90,90
24,1530,102,102
25,1560,104,104
26,1335,89,89
27,1335,89,89
28,1350,90,90
29,1320,88,88
30,1515,101,101
31,1335,89,89
32,1320,88,88
33,1320,88,88
34,1365,91,91
35,1470,98,98
36,1485,99,99
37,1515,101,101
38,1530,102,102
39,1545,103,103
40,1530,102,102
41,1485,99,99
42,1500,100,100
43,1485,99,99
44,1305,87,87
45,1320,88,88
46,1320,88,88
47,1290,86,86
48,1290,86,86
49,1305,87,87
50,1095,73,73
51,1260,84,84
52,1260,84,84
53,1470,98,98
54,1455,97,97
55,1515,101,101
56,1470,98,98
57,1365,91,91
58,1695,113,113
59,1365,91,91
60,1335,89,89
61,1245,83,83
62,1635,109,109
63,1335,89,89
64,1335,89,89
65,1440,96,96
66,1320,88,88
67,1125,75,75
68,1260,84,84
69,1440,96,96
70,1170,78,78
71,1305,87,87
72,1440,96,96
73,1305,87,87
74,1305,87,87
75,1335,89,89
76,1305,87,87
77,1455,97,97
78,1185,79,79
79,1425,95,95
80,1335,89,89
81,1560,104,104
82,1440,96,96
83,1470,98,98
84,1425,95,95
85,1455,97,97
86,1440,96,96
87,1500,100,100
88,1455,97,97
