index,dist_est,rtt_est,rtt_raw
1,2070,138,138
2,1980,132,132
3,2070,138,138
4,2340,156,156
5,2145,143,143
6,1995,133,133
7,2040,136,136
8,2175,145,145
9,2175,145,145
10,2145,143,143
11,2130,142,142
12,2100,140,140
13,2115,141,141
14,1980,132,132
15,2010,134,134
16,2025,135,135
17,2040,136,136
18,2130,142,142
19,1890,126,126
20,1710,114,114
21,1845,123,123
22,1845,123,123
23,1815,121,121
24,1920,128,128
25,1890,126,126
26,1935,129,129
27,1845,123,123
28,1920,128,128
29,2160,144,144
30,2175,145,145
31,1965,131,131
32,2040,136,136
33,1995,133,133
34,1965,131,131
35,2160,144,144
36,2040,136,136
37,2025,135,135
38,2010,134,134
39,2400,160,160
40,2145,143,143
41,2280,152,152
42,1965,131,131
43,2025,135,135
44,2145,143,143
45,2040,136,136
46,2025,135,135
47,2010,134,134
48,2010,134,134
49,2085,139,139
50,2070,138,138
51,2025,135,135
52,1980,132,132
53,1995,133,133
54,2025,135,135
55,2025,135,135
56,2055,137,137
57,2055,137,137
58,1965,131,131
59,1965,131,131
60,2070,138,138
61,2040,136,136
62,2100,140,140
63,2070,138,138
64,1890,126,126
65,2145,143,143
66,2160,144,144
67,1980,132,132
68,2010,134,134
69,1995,133,133
70,2100,140,140
71,1875,125,125
72,1995,133,133
73,1890,126,126
74,1950,130,130
75,2235,149,149
76,1995,133,133
77,2100,140,140
78,2400,160,160
79,1965,131,131
80,2145,143,143
81,2085,139,139
82,2190,146,146
