index,dist_est,rtt_est,rtt_raw
1,2205,147,147
2,2250,150,150
3,2220,148,148
4,2325,155,155
5,2325,155,155
6,2310,154,154
7,2340,156,156
8,2325,155,155
9,2400,160,160
10,2295,153,153
11,2280,152,152
12,2280,152,152
13,2295,153,153
14,2310,154,154
15,2220,148,148
16,2235,149,149
17,2235,149,149
18,2235,149,149
19,2265,151,151
20,2175,145,145
21,2280,152,152
22,2310,154,154
23,2310,154,154
24,2235,149,149
25,2265,151,151
26,2220,148,148
27,2265,151,151
28,2355,157,157
29,2295,153,153
30,2280,152,152
31,2310,154,154
32,2280,152,152
33,2310,154,154
34,2475,165,165
35,2310,154,154
36,2310,154,154
37,2235,149,149
38,2325,155,155
39,2235,149,149
40,2340,156,156
41,2370,158,158
42,2430,162,162
43,2355,157,157
44,2280,152,152
45,2475,165,165
46,2580,172,172
47,2370,158,158
48,2295,153,153
49,2310,154,154
50,2325,155,155
51,2220,148,148
52,2310,154,154
53,2220,148,148
54,2310,154,154
55,2220,148,148
56,2280,152,152
57,2280,152,152
58,2295,153,153
59,2280,152,152
60,2235,149,149
61,2190,146,146
62,2280,152,152
63,2310,154,154
64,2250,150,150
65,2265,151,151
66,2325,155,155
67,2370,158,158
68,2250,150,150
69,2295,153,153
70,2310,154,154
71,2160,144,144
72,2295,153,153
73,2355,157,157
74,2415,161,161
75,2385,159,159
76,2295,153,153
77,2400,160,160
78,2265,151,151
79,2250,150,150
80,2325,155,155
81,2265,151,151
82,2250,150,150
83,2220,148,148
84,2190,146,146
85,2085,139,139
86,2100,140,140
87,2190,146,146
88,2145,143,143
89,2190,146,146
90,2175,145,145
