index_main,token,rtt,rssi
1,6,142188,-80
1,7,156250,-79
1,8,154688,-79
1,9,145313,-79
1,10,156250,-79
1,11,156250,-79
1,12,143750,-79
1,13,142188,-79
1,14,145313,-79
1,15,154688,-78
1,16,153125,-79
1,17,153125,-78
1,18,164062,-78
1,19,153125,-79
1,20,148438,-78
2,7,132812,-82
2,8,151563,-81
2,9,151563,-81
2,10,135937,-81
2,11,142187,-81
2,12,131250,-81
2,13,142188,-81
2,14,137500,-81
2,15,129687,-79
2,16,126563,-79
2,17,129687,-79
2,18,142188,-79
2,19,129688,-79
2,20,128125,-79
3,6,140625,-78
3,7,146875,-78
3,8,140625,-78
3,9,137500,-79
3,10,137500,-78
3,11,137500,-79
3,12,135937,-78
3,13,150000,-78
3,14,134375,-79
3,15,132812,-80
3,16,146875,-79
3,17,145313,-80
3,18,131250,-81
3,19,132813,-81
3,20,134375,-80
4,6,134375,-80
4,7,145313,-80
4,8,134375,-80
4,9,132812,-80
4,10,131250,-80
4,11,132813,-80
4,12,132812,-80
4,13,135937,-80
4,14,132812,-80
4,15,146875,-80
4,16,145313,-81
4,17,145312,-81
4,18,131250,-81
4,19,139062,-81
4,20,137500,-80
5,6,151562,-80
5,7,146875,-81
5,8,143750,-82
5,9,143750,-82
5,10,148438,-81
5,11,146875,-82
5,12,142187,-82
5,13,150000,-82
5,14,145313,-82
5,15,151562,-81
5,16,139062,-80
5,17,139063,-80
5,18,153125,-80
5,19,153125,-80
5,20,142188,-80
6,6,135937,-79
6,7,150000,-80
6,8,145313,-80
6,9,148438,-81
6,10,153125,-81
6,11,162500,-81
6,12,148437,-81
6,13,151562,-81
6,14,153125,-81
6,15,170313,-80
6,16,165625,-80
6,17,150000,-80
6,18,153125,-80
6,19,164062,-80
6,20,154687,-80
7,6,128125,-78
7,7,126562,-78
7,8,139062,-78
7,9,123437,-77
7,10,121875,-77
7,11,123437,-78
7,12,125000,-77
7,13,134375,-77
7,14,123437,-78
7,15,148437,-80
7,16,134375,-79
7,17,134375,-79
7,18,132813,-79
7,19,134375,-80
7,20,135937,-79
8,6,129687,-80
8,7,117187,-77
8,8,121875,-77
8,9,117187,-77
8,10,120312,-77
8,11,134375,-77
8,12,134375,-77
8,13,120312,-77
8,14,123438,-77
8,15,140625,-79
8,16,145312,-79
8,17,145313,-79
8,18,145313,-79
8,19,146875,-79
8,20,148438,-79
9,6,132812,-80
9,7,132813,-80
9,8,132813,-80
9,9,134375,-80
9,10,129688,-79
9,11,134375,-80
9,12,134375,-79
9,13,134375,-79
9,14,129687,-80
9,15,135937,-79
9,16,132812,-80
9,17,134375,-80
9,18,137500,-79
9,19,132812,-79
9,20,134375,-80
10,6,123438,-79
10,7,115625,-82
10,8,117188,-81
10,9,114063,-81
10,10,114062,-82
10,11,117187,-81
10,12,115625,-81
10,13,125000,-81
10,14,121875,-82
10,15,121875,-79
10,16,123437,-79
10,17,125000,-79
10,18,131250,-79
10,19,120313,-79
10,20,120313,-79
11,6,117187,-78
11,7,121875,-78
11,8,129688,-78
11,9,125000,-78
11,10,120313,-78
11,11,121875,-78
11,12,121875,-78
11,13,135938,-78
11,14,121875,-78
11,15,125000,-78
11,16,120312,-78
11,17,121875,-78
11,18,123437,-78
11,19,123438,-78
11,20,125000,-78
12,7,140625,-83
12,8,131250,-83
12,9,132812,-83
12,10,126563,-83
12,11,126563,-82
12,12,126562,-82
12,13,125000,-83
12,14,129687,-83
12,15,128125,-82
12,16,126562,-82
12,17,128125,-82
12,18,126562,-82
12,19,125000,-82
12,20,128125,-82
13,6,126563,-80
13,7,126562,-81
13,8,131250,-80
13,9,126562,-80
13,10,131250,-80
13,11,126563,-80
13,12,129687,-81
13,13,126562,-80
13,14,129687,-81
13,15,125000,-80
13,16,134375,-80
13,17,125000,-80
13,18,126562,-80
13,19,121875,-80
13,20,125000,-80
14,6,117187,-76
14,7,118750,-76
14,8,120313,-76
14,9,121875,-77
14,10,120312,-77
14,11,118750,-76
14,12,120312,-76
14,13,121875,-76
14,14,117188,-77
14,15,117187,-76
14,16,118750,-76
14,17,120313,-76
14,18,118750,-76
14,19,118750,-76
14,20,117188,-76
15,6,125000,-80
15,7,125000,-80
15,8,118750,-81
15,9,125000,-81
15,10,123438,-80
15,11,125000,-80
15,12,135938,-80
15,13,126562,-80
15,14,125000,-80
15,15,123437,-81
15,16,125000,-81
15,17,126563,-81
15,18,126562,-81
15,19,129688,-80
15,20,139062,-80
16,9,146875,-77
16,10,145312,-77
16,11,131250,-77
16,12,132813,-77
16,14,131250,-77
16,15,142187,-79
16,16,157813,-79
16,17,139063,-79
16,18,143750,-79
16,19,142187,-79
16,20,145313,-80
17,7,139063,-79
17,8,137500,-79
17,9,140625,-79
17,10,135937,-79
17,11,137500,-80
17,12,134375,-79
17,13,135938,-79
17,14,137500,-79
17,15,135937,-79
17,16,135937,-79
17,17,134375,-79
17,18,148437,-78
17,19,132812,-78
17,20,134375,-78
18,6,129687,-79
18,7,120313,-80
18,8,125000,-80
18,9,123437,-80
18,10,123437,-80
18,11,123438,-80
18,12,125000,-80
18,13,137500,-81
18,14,121875,-80
18,15,129688,-80
18,16,129687,-81
18,17,125000,-80
18,18,125000,-81
18,19,137500,-80
18,20,126563,-80
19,6,120313,-78
19,7,120312,-79
19,8,128125,-79
19,9,123438,-79
19,10,139063,-79
19,11,121875,-79
19,12,137500,-79
19,13,123437,-79
19,14,126562,-79
19,15,125000,-80
19,16,125000,-80
19,17,143750,-80
19,18,126562,-80
19,19,126562,-81
19,20,126562,-80
20,6,126562,-85
20,7,115625,-85
20,8,114063,-86
20,9,112500,-86
20,10,115625,-86
20,11,118750,-85
20,12,121875,-86
20,13,129687,-85
20,15,135937,-86
20,17,129688,-85
20,18,126563,-85
20,19,137500,-86
20,20,120313,-85
21,6,115625,-80
21,7,110938,-80
21,8,109375,-80
21,9,112500,-80
21,10,109375,-80
21,11,121875,-80
21,12,112500,-80
21,13,110937,-80
21,14,114062,-80
21,15,115625,-80
21,16,114062,-80
21,17,115625,-80
21,18,114063,-80
21,19,114062,-80
21,20,126563,-80
22,6,107813,-81
22,7,110938,-81
22,8,109375,-81
22,9,109375,-81
22,10,112500,-81
22,11,107812,-81
22,12,107813,-81
22,13,112500,-81
22,14,109375,-81
22,15,112500,-82
22,16,112500,-82
22,17,118750,-81
22,18,126562,-81
22,19,114063,-82
22,20,115625,-81
23,6,120313,-81
23,7,107812,-81
23,8,115625,-80
23,9,121875,-80
23,10,115625,-80
23,11,112500,-80
23,12,114062,-80
23,13,112500,-81
23,14,112500,-80
23,15,114062,-81
23,16,117187,-80
23,17,128125,-80
23,18,115625,-80
23,19,114063,-80
23,20,115625,-80
24,6,107813,-80
24,7,118750,-81
24,8,106250,-81
24,9,103125,-81
24,10,107813,-81
24,11,106250,-81
24,12,106250,-81
24,13,101562,-81
24,14,109375,-81
24,15,109375,-81
24,16,107812,-82
24,17,110938,-82
24,18,106250,-82
24,19,106250,-82
24,20,107813,-82
25,6,121875,-79
25,7,115625,-79
25,8,126563,-79
25,9,117187,-79
25,10,115625,-78
25,11,120313,-79
25,12,117188,-78
25,13,117187,-79
25,14,128125,-79
25,15,135938,-80
25,16,131250,-80
25,17,134375,-81
25,18,135938,-80
25,19,131250,-81
25,20,134375,-81
26,6,126563,-79
26,7,137500,-82
26,8,123437,-82
26,9,118750,-82
26,10,121875,-82
26,11,131250,-82
26,12,125000,-82
26,13,123438,-82
26,14,125000,-82
26,15,123438,-81
26,16,121875,-81
26,17,120312,-81
26,18,123437,-81
26,19,121875,-81
26,20,123438,-81
27,6,115625,-83
27,7,123438,-84
27,8,114062,-83
27,9,114062,-84
27,10,109375,-84
27,11,112500,-84
27,12,110938,-84
27,13,114063,-84
27,15,117188,-84
27,16,110937,-83
27,17,114063,-83
27,18,125000,-83
27,19,117188,-83
27,20,117187,-84
28,6,125000,-82
28,7,142187,-86
28,8,139062,-86
28,9,143750,-86
28,10,139063,-86
28,11,135937,-86
28,12,140625,-86
28,13,142187,-86
28,14,164062,-85
28,15,132813,-83
28,16,131250,-83
28,17,126563,-83
28,18,128125,-83
28,19,121875,-83
28,20,126562,-83
29,6,120313,-81
29,7,137500,-81
29,8,126562,-81
29,9,121875,-81
29,10,126563,-80
29,11,125000,-80
29,12,125000,-81
29,13,126562,-81
29,14,123437,-81
29,15,128125,-81
29,16,125000,-81
29,17,128125,-81
29,18,125000,-81
29,19,139062,-81
29,20,123437,-81
30,7,120313,-78
30,8,134375,-78
30,9,131250,-78
30,10,135937,-78
30,11,121875,-78
30,12,134375,-78
30,13,137500,-78
30,14,123438,-78
30,15,134375,-78
30,16,123437,-78
30,17,134375,-78
30,18,123438,-78
30,19,125000,-78
30,20,120313,-78
31,6,131250,-79
31,7,143750,-80
31,8,137500,-80
31,9,132813,-80
31,10,131250,-80
31,11,131250,-80
31,12,145312,-80
31,13,148438,-80
31,14,134375,-80
31,15,134375,-78
31,16,131250,-78
31,17,131250,-78
31,18,131250,-78
31,19,131250,-78
31,20,131250,-78
32,6,126563,-78
32,7,128125,-79
32,8,125000,-79
32,9,125000,-79
32,10,126562,-79
32,11,121875,-79
32,12,125000,-79
32,13,125000,-79
32,14,128125,-79
32,15,142188,-84
32,16,132813,-82
32,17,145312,-85
32,18,146875,-85
32,19,143750,-85
32,20,143750,-86
33,6,118750,-78
33,7,118750,-79
33,8,117187,-78
33,9,114063,-78
33,10,117188,-78
33,11,128125,-78
33,12,114063,-78
33,13,129688,-78
33,14,114063,-78
33,15,109375,-84
33,16,118750,-84
33,17,118750,-84
33,18,110938,-85
33,19,128125,-86
33,20,115625,-85
34,6,121875,-81
34,7,137500,-79
34,8,132812,-79
34,9,132812,-80
34,10,148437,-79
34,11,148437,-79
34,12,134375,-79
34,13,135938,-79
34,14,150000,-79
34,15,134375,-78
34,16,135937,-78
34,17,139062,-78
34,18,139062,-78
34,19,150000,-78
34,20,151562,-78
35,6,134375,-83
35,7,146875,-82
35,8,146875,-83
35,9,159375,-82
35,10,143750,-82
35,11,150000,-82
35,12,142187,-82
35,13,145313,-83
35,14,146875,-83
35,15,160937,-81
35,16,146875,-82
35,17,157812,-82
35,18,151563,-82
35,19,157813,-82
35,20,148438,-82
36,6,167187,-81
36,7,156250,-82
36,8,170312,-82
36,9,171875,-81
36,10,171875,-82
36,11,165625,-81
36,12,153125,-82
36,13,154687,-81
36,14,153125,-82
36,15,143750,-80
36,16,145313,-81
36,17,150000,-80
36,18,148438,-81
36,19,159375,-80
36,20,148437,-80
37,6,150000,-82
37,7,170312,-82
37,8,162500,-82
37,9,165625,-82
37,10,148438,-82
37,11,153125,-82
37,12,151563,-82
37,13,157813,-82
37,14,156250,-82
37,15,164063,-82
37,16,156250,-82
37,17,176562,-82
37,18,175000,-82
37,19,157812,-82
37,20,157813,-82
38,6,132812,-80
38,7,156250,-82
38,8,157812,-82
38,9,143750,-82
38,10,139063,-82
38,11,143750,-82
38,12,150000,-82
38,13,145312,-82
38,14,156250,-79
38,15,142187,-81
38,16,145313,-82
38,17,143750,-81
38,18,131250,-81
38,19,134375,-81
38,20,132813,-81
39,6,125000,-82
39,7,139062,-79
39,8,125000,-80
39,9,139062,-80
39,10,128125,-79
39,11,128125,-79
39,12,143750,-80
39,13,128125,-79
39,14,129687,-79
39,15,157812,-80
39,16,156250,-79
39,17,153125,-80
39,18,142187,-80
39,19,142187,-79
39,20,154688,-79
40,6,142187,-79
40,7,148437,-78
40,8,146875,-78
40,9,134375,-77
40,10,137500,-78
40,11,134375,-78
40,12,137500,-77
40,13,132813,-77
40,14,134375,-77
40,15,143750,-80
40,16,148438,-81
40,17,132812,-80
40,18,128125,-80
40,19,128125,-80
40,20,132813,-81
41,6,131250,-76
41,7,131250,-76
41,8,134375,-76
41,9,132813,-76
41,10,145313,-76
41,11,131250,-77
41,12,134375,-76
41,13,132812,-76
41,14,137500,-77
41,15,145313,-78
41,16,134375,-78
41,17,146875,-78
41,18,145312,-78
41,19,132812,-78
41,20,146875,-78
42,6,135937,-77
42,7,143750,-77
42,8,128125,-78
42,9,132812,-78
42,10,129687,-78
42,11,131250,-78
42,12,143750,-78
42,13,134375,-77
42,14,132812,-77
42,15,145312,-78
42,16,129687,-77
42,17,129688,-78
42,18,131250,-78
42,19,131250,-77
42,20,145312,-78
43,6,129688,-77
43,7,153125,-81
43,8,151563,-81
43,9,150000,-80
43,10,145313,-80
43,11,140625,-79
43,12,146875,-79
43,13,146875,-79
43,14,145313,-79
43,15,145312,-80
43,16,156250,-81
43,17,143750,-81
43,18,143750,-81
43,19,140625,-81
43,20,143750,-81
44,6,132813,-79
44,7,139063,-80
44,8,140625,-80
44,9,139063,-81
44,10,135937,-81
44,11,134375,-81
44,12,150000,-81
44,13,132813,-81
44,14,143750,-81
44,15,123438,-81
44,16,121875,-81
44,17,118750,-81
44,18,123437,-80
44,19,120312,-81
44,20,121875,-81
45,6,157813,-84
45,7,204688,-85
45,8,204688,-85
45,9,201563,-85
45,10,198438,-85
45,11,207813,-85
45,12,203125,-84
45,13,198438,-85
45,14,221875,-85
45,15,165625,-84
45,16,162500,-84
45,17,154688,-84
45,18,146875,-84
45,19,150000,-84
45,20,145313,-84
46,7,198438,-86
46,8,196875,-86
46,9,200000,-85
46,10,200000,-85
46,11,215625,-85
46,12,198437,-85
46,13,193750,-86
46,14,201562,-86
46,15,189062,-84
46,16,206250,-85
46,17,190625,-84
46,18,185938,-85
46,19,192188,-85
47,6,168750,-79
47,7,160937,-77
47,8,159375,-77
47,9,157813,-76
47,10,159375,-76
47,11,154688,-76
47,12,154688,-76
47,13,156250,-76
47,14,156250,-76
47,15,156250,-77
47,16,170313,-77
47,17,167187,-78
47,18,156250,-78
47,19,159375,-78
