index_main,token,rtt,rssi
1,6,29687,-69
1,7,45313,-66
1,8,43750,-67
1,9,45312,-67
1,10,45313,-68
1,11,54687,-68
1,12,40625,-68
1,13,40625,-68
1,14,50000,-69
1,15,29688,-67
1,16,43750,-66
1,17,31250,-67
1,18,32812,-67
1,19,32813,-67
1,20,31250,-68
2,6,40625,-67
2,7,39062,-66
2,8,40625,-66
2,9,40625,-66
2,10,39063,-66
2,11,40625,-66
2,12,40625,-66
2,13,40625,-66
2,14,42187,-67
2,15,37500,-67
2,16,37500,-66
2,17,37500,-66
2,18,37500,-66
2,19,39063,-67
2,20,37500,-66
3,6,42188,-68
3,7,40625,-68
3,8,40625,-68
3,9,40625,-68
3,10,40625,-68
3,11,40625,-68
3,12,39062,-68
3,13,39063,-68
3,14,40625,-68
3,15,40625,-68
3,16,39063,-68
3,17,37500,-68
3,18,40625,-68
3,19,39063,-68
3,20,39062,-68
4,6,37500,-68
4,7,37500,-68
4,8,37500,-68
4,9,35937,-68
4,10,37500,-68
4,11,39063,-68
4,12,37500,-68
4,13,37500,-68
4,14,37500,-67
4,15,35938,-67
4,16,37500,-67
4,17,37500,-67
4,18,48438,-67
4,19,37500,-68
4,20,37500,-68
5,6,37500,-67
5,7,39062,-67
5,8,39063,-67
5,9,39063,-67
5,10,37500,-67
5,11,37500,-67
5,12,37500,-67
5,13,40625,-67
5,14,39063,-67
5,15,37500,-67
5,16,35938,-68
5,17,35938,-68
5,18,34375,-68
5,19,35938,-68
5,20,35937,-67
6,6,34375,-67
6,7,35938,-67
6,8,37500,-67
6,9,37500,-67
6,10,35937,-67
6,11,37500,-67
6,12,35938,-67
6,13,37500,-67
6,14,35938,-67
6,15,35937,-68
6,16,35938,-68
6,17,35937,-67
6,18,34375,-68
6,19,35938,-68
6,20,37500,-68
7,6,43750,-67
7,7,43750,-67
7,8,43750,-67
7,9,43750,-67
7,10,43750,-67
7,11,42187,-67
7,12,43750,-67
7,13,56250,-67
7,14,42187,-67
7,15,43750,-67
7,16,43750,-67
7,17,43750,-67
7,18,43750,-67
7,19,43750,-67
7,20,43750,-67
8,6,46875,-67
8,7,43750,-67
8,8,45312,-67
8,9,43750,-67
8,10,43750,-67
8,11,45312,-67
8,12,45313,-67
8,13,45312,-67
8,14,45312,-68
8,15,46875,-68
8,16,45312,-67
8,17,45313,-68
8,18,45312,-68
8,19,46875,-67
8,20,45313,-68
9,6,35937,-68
9,7,39063,-67
9,8,42188,-67
9,9,40625,-67
9,10,40625,-67
9,11,40625,-67
9,12,40625,-67
9,13,40625,-67
9,14,42188,-67
9,15,40625,-68
9,16,42188,-68
9,17,40625,-68
9,18,40625,-68
9,19,40625,-68
9,20,40625,-68
10,6,46875,-68
10,7,46875,-67
10,8,48438,-67
10,9,48437,-67
10,10,60938,-67
10,11,50000,-68
10,12,48437,-68
10,13,48438,-68
10,14,48438,-68
10,15,48437,-68
10,16,48437,-68
10,17,51562,-68
10,18,50000,-68
10,19,62500,-68
10,20,62500,-68
11,6,45313,-65
11,7,45313,-65
11,8,45312,-65
11,9,45313,-65
11,10,45312,-65
11,11,45312,-65
11,12,45313,-65
11,13,43750,-65
11,14,45313,-65
11,15,43750,-67
11,16,43750,-67
11,17,43750,-66
11,18,43750,-66
11,19,43750,-66
11,20,43750,-66
12,6,45312,-67
12,7,45312,-67
12,8,45313,-67
12,9,46875,-67
12,10,45312,-67
12,11,43750,-67
12,12,43750,-67
12,13,45312,-68
12,14,45313,-67
12,15,45312,-68
12,16,45312,-68
12,17,45313,-68
12,18,46875,-68
12,19,59375,-68
12,20,46875,-68
13,6,43750,-66
13,7,45313,-66
13,8,43750,-66
