index,dist_est,rtt_est,rtt_raw
1,510,34,34
2,465,31,31
3,375,25,25
4,450,30,30
5,405,27,27
6,360,24,24
7,405,27,27
8,405,27,27
9,375,25,25
10,450,30,30
11,435,29,29
12,390,26,26
13,375,25,25
14,390,26,26
15,420,28,28
16,405,27,27
17,420,28,28
18,420,28,28
19,435,29,29
20,450,30,30
21,435,29,29
22,435,29,29
23,420,28,28
24,405,27,27
25,420,28,28
26,405,27,27
27,405,27,27
28,435,29,29
29,420,28,28
30,435,29,29
31,420,28,28
32,480,32,32
33,375,25,25
34,420,28,28
35,405,27,27
36,405,27,27
37,480,32,32
38,450,30,30
39,435,29,29
40,420,28,28
41,450,30,30
42,435,29,29
43,450,30,30
44,435,29,29
45,420,28,28
46,375,25,25
47,405,27,27
48,435,29,29
49,435,29,29
50,420,28,28
51,435,29,29
52,405,27,27
53,420,28,28
54,450,30,30
55,420,28,28
56,405,27,27
57,405,27,27
58,420,28,28
59,420,28,28
60,420,28,28
61,405,27,27
62,390,26,26
63,405,27,27
64,465,31,31
65,420,28,28
66,420,28,28
67,420,28,28
68,390,26,26
69,390,26,26
70,390,26,26
71,420,28,28
72,450,30,30
73,450,30,30
74,495,33,33
75,450,30,30
76,450,30,30
77,450,30,30
78,435,29,29
79,405,27,27
80,435,29,29
81,390,26,26
82,390,26,26
83,405,27,27
84,390,26,26
85,405,27,27
