index,dist_est,rtt_est,rtt_raw
1,1800,120,120
2,1275,85,85
3,975,65,65
4,900,60,60
5,1200,80,80
6,1050,70,70
7,1110,74,74
8,1125,75,75
9,900,60,60
10,1050,70,70
11,1230,82,82
12,1110,74,74
13,1185,79,79
14,1425,95,95
15,1560,104,104
16,1560,104,104
17,1125,75,75
18,1125,75,75
19,1170,78,78
20,1080,72,72
21,1275,85,85
22,1110,74,74
23,1260,84,84
24,1065,71,71
25,1110,74,74
26,1215,81,81
27,975,65,65
28,1125,75,75
29,1020,68,68
30,990,66,66
31,960,64,64
32,1005,67,67
33,1140,76,76
34,915,61,61
35,1065,71,71
36,1110,74,74
37,1065,71,71
38,1170,78,78
39,1230,82,82
40,1125,75,75
41,1185,79,79
42,1065,71,71
43,1095,73,73
44,1125,75,75
45,1185,79,79
46,1050,70,70
47,1035,69,69
48,1305,87,87
49,1185,79,79
50,1095,73,73
51,1140,76,76
52,1125,75,75
53,1125,75,75
54,1110,74,74
55,1125,75,75
56,1140,76,76
57,1110,74,74
58,1035,69,69
59,945,63,63
60,1125,75,75
61,1095,73,73
62,1260,84,84
63,1020,68,68
64,1455,97,97
65,1275,85,85
66,960,64,64
67,975,65,65
68,1185,79,79
69,1155,77,77
70,1125,75,75
71,975,65,65
72,1155,77,77
73,825,55,55
74,1260,84,84
75,1440,96,96
76,1230,82,82
77,1200,80,80
78,1470,98,98
79,945,63,63
80,915,61,61
81,1080,72,72
82,1335,89,89
83,1395,93,93
84,1035,69,69
85,1275,85,85
86,1080,72,72
87,1050,70,70
88,900,60,60
89,885,59,59
90,885,59,59
91,1005,67,67
