index,dist_est,rtt_est,rtt_raw
1,2265,151,151
2,2040,136,136
3,2070,138,138
4,2055,137,137
5,2190,146,146
6,2295,153,153
7,1965,131,131
8,1980,132,132
9,1995,133,133
10,1800,120,120
11,1845,123,123
12,1920,128,128
13,1905,127,127
14,1785,119,119
15,1890,126,126
16,2115,141,141
17,2055,137,137
18,1890,126,126
19,1905,127,127
20,1845,123,123
21,1710,114,114
22,1680,112,112
23,1725,115,115
24,1605,107,107
25,1875,125,125
26,1860,124,124
27,1725,115,115
28,2025,135,135
29,1890,126,126
30,1920,128,128
31,2025,135,135
32,1980,132,132
33,1770,118,118
34,2085,139,139
35,2235,149,149
36,2355,157,157
37,2400,160,160
38,2145,143,143
39,2085,139,139
40,2055,137,137
41,2055,137,137
42,2010,134,134
43,2175,145,145
44,1965,131,131
45,2715,181,181
46,2955,197,197
47,2385,159,159
48,2340,156,156
49,2295,153,153
50,2340,156,156
51,2370,158,158
52,2400,160,160
53,2295,153,153
54,2205,147,147
55,2445,163,163
56,2415,161,161
57,2445,163,163
58,2400,160,160
59,2625,175,175
60,2460,164,164
61,2640,176,176
62,2610,174,174
63,2400,160,160
64,2445,163,163
65,2355,157,157
66,2445,163,163
67,2310,154,154
68,2355,157,157
69,2340,156,156
70,2460,164,164
71,2715,181,181
72,2520,168,168
73,2430,162,162
74,2325,155,155
75,2280,152,152
76,2295,153,153
77,2415,161,161
78,2670,178,178
79,2730,182,182
80,2520,168,168
81,2685,179,179
82,2595,173,173
83,2580,172,172
84,2685,179,179
85,2565,171,171
86,2565,171,171
87,2610,174,174
88,2565,171,171
