index,dist_est,rtt_est,rtt_raw
1,1830,122,122
2,2115,141,141
3,1845,123,123
4,1935,129,129
5,1965,131,131
6,2145,143,143
7,2055,137,137
8,1935,129,129
9,2025,135,135
10,1800,120,120
11,1845,123,123
12,1845,123,123
13,1935,129,129
14,1785,119,119
15,1740,116,116
16,1770,118,118
17,1830,122,122
18,2055,137,137
19,1935,129,129
20,1845,123,123
21,1875,125,125
22,1815,121,121
23,1815,121,121
24,1860,124,124
25,1830,122,122
26,1815,121,121
27,1890,126,126
28,1965,131,131
29,1800,120,120
30,1815,121,121
31,1845,123,123
32,1815,121,121
33,1935,129,129
34,1935,129,129
35,1800,120,120
36,2115,141,141
37,1890,126,126
38,1845,123,123
39,1980,132,132
40,1920,128,128
41,1800,120,120
42,1920,128,128
43,1740,116,116
44,1995,133,133
45,1845,123,123
46,1830,122,122
47,1920,128,128
48,1800,120,120
49,1740,116,116
50,1815,121,121
51,2010,134,134
52,1830,122,122
53,1950,130,130
54,1815,121,121
55,1860,124,124
56,1875,125,125
57,1695,113,113
58,1665,111,111
59,1815,121,121
60,1725,115,115
61,1740,116,116
62,1860,124,124
63,1845,123,123
64,1770,118,118
65,1800,120,120
66,1650,110,110
67,1710,114,114
68,1800,120,120
69,1830,122,122
70,1875,125,125
71,1905,127,127
72,1875,125,125
73,1860,124,124
74,1770,118,118
75,2145,143,143
76,2190,146,146
77,1875,125,125
78,1995,133,133
79,1950,130,130
80,1770,118,118
81,1905,127,127
82,1935,129,129
83,1890,126,126
84,1875,125,125
85,1875,125,125
86,1995,133,133
87,1920,128,128
88,2040,136,136
