index_main,token,rtt,rssi
1,6,26562,-61
1,7,39063,-61
1,8,40625,-61
1,9,40625,-61
1,10,26562,-61
1,11,26562,-61
1,12,26563,-61
1,13,40625,-61
1,14,28125,-61
1,15,28125,-61
1,16,26563,-61
1,17,40625,-61
1,18,39063,-61
1,19,40625,-61
1,20,40625,-61
2,6,29688,-62
2,7,42187,-62
2,8,29688,-62
2,9,29688,-61
2,10,31250,-61
2,11,28125,-62
2,12,28125,-61
2,13,29688,-61
2,14,31250,-61
2,15,29688,-59
2,16,40625,-59
2,17,40625,-59
2,18,29688,-59
2,19,29688,-59
2,20,28125,-59
3,6,25000,-64
3,7,25000,-64
3,8,23438,-64
3,9,21875,-64
3,10,25000,-64
3,11,25000,-64
3,12,25000,-64
3,13,25000,-63
3,14,23438,-63
3,15,35937,-62
3,16,23437,-62
3,17,23438,-62
3,18,25000,-62
3,19,25000,-62
3,20,25000,-62
4,6,29688,-62
4,7,28125,-62
4,8,29687,-62
4,9,28125,-62
4,10,29687,-62
4,11,28125,-62
4,12,28125,-62
4,13,40625,-62
4,14,26562,-62
4,15,28125,-63
4,16,42187,-63
4,17,28125,-63
4,18,28125,-63
4,19,28125,-63
4,20,28125,-63
5,6,25000,-62
5,7,25000,-62
5,8,25000,-62
5,9,25000,-62
5,10,26562,-62
5,11,25000,-62
5,12,26563,-62
5,13,26563,-62
5,14,25000,-62
5,15,28125,-62
5,16,29687,-62
5,17,28125,-62
5,18,29688,-62
5,19,29688,-62
5,20,31250,-62
6,6,23438,-58
6,7,21875,-58
6,8,21875,-58
6,9,23437,-58
6,10,34375,-58
6,11,21875,-58
6,12,23438,-59
6,13,23438,-58
6,14,21875,-58
6,15,35937,-58
6,16,21875,-58
6,17,23437,-58
6,18,21875,-58
6,19,21875,-58
6,20,21875,-58
7,6,28125,-63
7,7,25000,-63
7,8,26563,-63
7,9,26563,-63
7,10,26562,-63
7,11,26562,-63
7,12,28125,-63
7,13,28125,-63
7,14,26563,-63
7,15,26562,-63
7,16,26562,-63
7,17,26562,-63
7,18,25000,-63
7,19,26563,-63
7,20,37500,-63
8,6,25000,-59
8,7,29688,-60
8,8,28125,-60
8,9,29687,-59
8,10,29687,-59
8,11,28125,-59
8,12,28125,-59
8,13,29688,-59
8,14,29688,-59
8,15,23437,-63
8,16,21875,-63
8,17,23437,-63
8,18,25000,-63
8,19,23437,-63
8,20,35938,-63
9,6,23438,-60
9,7,23437,-61
9,8,37500,-61
9,9,23438,-61
9,10,23438,-61
9,11,25000,-61
9,12,23437,-61
9,13,25000,-61
9,14,25000,-61
9,15,23437,-60
9,16,25000,-60
9,17,23438,-60
9,18,25000,-60
9,19,25000,-60
9,20,25000,-60
10,6,29688,-62
10,7,29687,-62
10,8,29687,-61
10,9,29688,-61
10,10,29688,-61
10,11,29688,-61
10,12,42187,-61
10,13,28125,-61
10,14,31250,-61
10,15,31250,-62
10,16,29687,-62
10,17,31250,-62
10,18,31250,-62
10,19,29688,-62
10,20,31250,-62
11,6,26563,-60
11,7,37500,-60
11,8,39062,-60
11,9,25000,-60
11,10,25000,-60
11,11,26563,-60
11,12,37500,-60
11,13,25000,-60
11,14,26563,-60
11,15,25000,-60
11,16,26563,-61
11,17,26563,-60
11,18,25000,-60
11,19,39062,-60
11,20,26563,-60
12,6,26562,-61
12,7,26562,-61
12,8,26563,-61
12,9,26563,-61
12,10,25000,-61
12,11,26562,-61
12,12,26562,-61
12,13,26562,-61
12,14,26562,-61
12,15,26563,-59
12,16,26563,-59
12,17,26563,-59
12,18,26562,-59
12,19,25000,-59
12,20,25000,-59
13,6,21875,-60
13,7,25000,-59
13,8,26562,-60
13,9,25000,-60
13,10,25000,-60
13,11,26563,-60
13,12,25000,-60
13,13,25000,-60
13,14,26562,-60
13,15,26562,-62
13,16,25000,-62
13,17,25000,-62
13,18,25000,-62
13,19,23437,-62
13,20,25000,-63
14,6,25000,-62
14,7,26562,-62
14,8,25000,-62
14,9,25000,-62
14,10,26563,-61
14,11,25000,-61
14,12,26562,-61
14,13,26563,-61
14,14,26563,-61
14,15,26562,-63
14,16,26562,-63
14,17,26563,-63
14,18,26563,-64
14,19,26562,-63
14,20,25000,-63
15,6,25000,-60
15,7,28125,-60
15,8,28125,-60
15,9,28125,-61
15,10,29688,-61
15,11,28125,-60
15,12,28125,-60
15,13,28125,-61
15,14,28125,-61
15,15,25000,-60
15,16,37500,-60
15,17,26563,-60
15,18,26562,-60
15,19,28125,-60
15,20,25000,-60
