index,dist_est,rtt_est,rtt_raw
1,135,9,9
2,150,10,10
3,195,13,13
4,210,14,14
5,255,17,17
6,225,15,15
7,210,14,14
8,195,13,13
9,180,12,12
10,150,10,10
11,135,9,9
12,150,10,10
13,150,10,10
14,150,10,10
15,135,9,9
16,150,10,10
17,165,11,11
18,180,12,12
19,135,9,9
20,135,9,9
21,195,13,13
22,165,11,11
23,195,13,13
24,180,12,12
25,195,13,13
26,165,11,11
27,165,11,11
28,195,13,13
29,210,14,14
30,210,14,14
31,195,13,13
32,195,13,13
33,195,13,13
34,180,12,12
35,150,10,10
36,210,14,14
37,150,10,10
38,225,15,15
39,180,12,12
40,195,13,13
41,195,13,13
42,195,13,13
43,195,13,13
44,195,13,13
45,150,10,10
46,180,12,12
47,135,9,9
48,195,13,13
49,180,12,12
50,210,14,14
51,165,11,11
52,165,11,11
53,165,11,11
54,210,14,14
55,150,10,10
56,120,8,8
57,195,13,13
58,195,13,13
59,180,12,12
60,180,12,12
61,180,12,12
62,180,12,12
63,210,14,14
64,210,14,14
65,165,11,11
66,165,11,11
67,165,11,11
68,150,10,10
69,225,15,15
70,180,12,12
71,180,12,12
72,225,15,15
73,270,18,18
74,195,13,13
75,210,14,14
76,195,13,13
77,255,17,17
78,165,11,11
79,195,13,13
80,165,11,11
81,225,15,15
82,195,13,13
83,195,13,13
84,240,16,16
85,195,13,13
86,195,13,13
87,195,13,13
