index,dist_est,rtt_est,rtt_raw
1,585,39,39
2,585,39,39
3,600,40,40
4,570,38,38
5,555,37,37
6,540,36,36
7,660,44,44
8,675,45,45
9,600,40,40
10,765,51,51
11,660,44,44
12,690,46,46
13,660,44,44
14,645,43,43
15,630,42,42
16,690,46,46
17,645,43,43
18,645,43,43
19,660,44,44
20,675,45,45
21,660,44,44
22,675,45,45
23,675,45,45
24,735,49,49
25,660,44,44
26,645,43,43
27,690,46,46
28,690,46,46
29,630,42,42
30,660,44,44
31,570,38,38
32,630,42,42
33,615,41,41
34,600,40,40
35,690,46,46
36,660,44,44
37,645,43,43
38,645,43,43
39,495,33,33
40,735,49,49
41,645,43,43
42,630,42,42
43,660,44,44
44,615,41,41
45,540,36,36
46,615,41,41
47,660,44,44
48,660,44,44
49,630,42,42
50,675,45,45
51,630,42,42
52,630,42,42
53,570,38,38
54,615,41,41
55,660,44,44
56,645,43,43
57,585,39,39
58,675,45,45
59,690,46,46
60,705,47,47
61,570,38,38
62,675,45,45
63,735,49,49
64,675,45,45
65,615,41,41
66,660,44,44
67,660,44,44
68,705,47,47
69,630,42,42
70,525,35,35
71,660,44,44
72,720,48,48
73,660,44,44
74,630,42,42
75,585,39,39
76,600,40,40
77,660,44,44
78,630,42,42
79,615,41,41
80,690,46,46
81,690,46,46
82,690,46,46
83,690,46,46
84,690,46,46
85,690,46,46
86,690,46,46
87,690,46,46
88,675,45,45
89,705,47,47
90,855,57,57
91,735,49,49
92,690,46,46
93,645,43,43
94,600,40,40
95,720,48,48
96,630,42,42
97,645,43,43
98,690,46,46
