index,dist_est,rtt_est,rtt_raw
1,1350,90,90
2,1380,92,92
3,1500,100,100
4,1440,96,96
5,1500,100,100
6,1485,99,99
7,1425,95,95
8,1395,93,93
9,1395,93,93
10,1365,91,91
11,1425,95,95
12,1470,98,98
13,1455,97,97
14,1440,96,96
15,1455,97,97
16,1395,93,93
17,1425,95,95
18,1395,93,93
19,1425,95,95
20,1425,95,95
21,1395,93,93
22,1410,94,94
23,1440,96,96
24,1425,95,95
25,1425,95,95
26,1410,94,94
27,1425,95,95
28,1440,96,96
29,1530,102,102
30,1470,98,98
31,1425,95,95
32,1485,99,99
33,1440,96,96
34,1470,98,98
35,1440,96,96
36,1410,94,94
37,1440,96,96
38,1395,93,93
39,1485,99,99
40,1530,102,102
41,1440,96,96
42,1410,94,94
43,1395,93,93
44,1425,95,95
45,1455,97,97
46,1410,94,94
47,1425,95,95
48,1380,92,92
49,1395,93,93
50,1365,91,91
51,1395,93,93
52,1455,97,97
53,1485,99,99
54,1470,98,98
55,1530,102,102
56,1500,100,100
57,1560,104,104
58,1605,107,107
59,1545,103,103
60,1455,97,97
61,1470,98,98
62,1500,100,100
63,1620,108,108
64,1590,106,106
65,1425,95,95
66,1410,94,94
67,1395,93,93
68,1470,98,98
69,1485,99,99
70,1500,100,100
71,1440,96,96
72,1395,93,93
73,1440,96,96
74,1410,94,94
75,1410,94,94
76,1455,97,97
77,1440,96,96
78,1395,93,93
79,1425,95,95
80,1455,97,97
81,1395,93,93
82,1410,94,94
83,1380,92,92
84,1395,93,93
85,1365,91,91
86,1425,95,95
87,1455,97,97
88,1365,91,91
89,1395,93,93
