index_main,token,rtt,rssi
1,6,10938,-62
1,7,9375,-62
1,8,21875,-62
1,9,9375,-62
1,10,9375,-62
1,11,9375,-62
1,12,7812,-62
1,13,6250,-62
1,14,9375,-62
1,15,6250,-62
1,16,7813,-62
1,17,7813,-62
1,18,6250,-62
1,19,9375,-62
1,20,9375,-62
2,6,23437,-62
2,7,7813,-63
2,8,9375,-63
2,9,10938,-63
2,10,9375,-63
2,11,9375,-63
2,12,9375,-63
2,13,9375,-63
2,14,9375,-63
2,15,7813,-62
2,16,6250,-62
2,17,6250,-62
2,18,7812,-62
2,19,20313,-62
2,20,7813,-62
3,6,10938,-62
3,7,12500,-62
3,8,12500,-62
3,9,10938,-62
3,10,10937,-62
3,11,12500,-62
3,12,10938,-62
3,13,10938,-62
3,14,10938,-62
3,15,14062,-63
3,16,25000,-62
3,17,14063,-63
3,18,14063,-62
3,19,14062,-63
3,20,14062,-63
4,7,25000,-62
4,8,10937,-62
4,9,12500,-62
4,10,10938,-62
4,11,12500,-62
4,12,12500,-62
4,13,10937,-62
4,14,10938,-62
4,15,23437,-62
4,16,14062,-62
4,17,12500,-62
4,18,12500,-62
4,19,23438,-62
4,20,12500,-62
5,6,15625,-62
5,7,15625,-62
5,8,14063,-62
5,9,14063,-62
5,10,14062,-62
5,11,12500,-62
5,12,14063,-62
5,13,14063,-62
5,14,26562,-62
5,15,39063,-62
5,16,25000,-62
5,17,12500,-62
5,18,12500,-62
5,19,12500,-62
5,20,14063,-62
6,6,14062,-62
6,7,12500,-62
6,8,26562,-62
6,9,14063,-62
6,10,14063,-62
6,11,14062,-62
6,12,14062,-62
6,13,14063,-62
6,14,25000,-62
6,15,12500,-62
6,16,14063,-62
6,17,14062,-62
6,18,12500,-62
6,19,12500,-62
6,20,12500,-62
7,6,15625,-62
7,7,14062,-62
7,8,12500,-62
7,9,14063,-62
7,10,12500,-62
7,11,14062,-62
7,12,12500,-62
7,13,14063,-62
7,14,14062,-62
7,15,15625,-62
7,16,14063,-62
7,17,14062,-62
7,18,26562,-62
7,19,14063,-62
7,20,14063,-62
8,6,10938,-62
8,7,10938,-62
8,8,10938,-62
8,9,10937,-62
8,10,12500,-62
8,11,10938,-62
8,12,23437,-62
8,13,10938,-62
8,14,12500,-62
8,15,12500,-62
8,16,12500,-62
8,17,25000,-62
8,18,14063,-62
8,19,12500,-62
8,20,14062,-62
9,6,12500,-63
9,7,12500,-63
9,8,10937,-63
9,9,10938,-62
9,10,12500,-63
9,11,10937,-63
9,12,12500,-63
9,13,12500,-63
9,14,12500,-62
9,15,12500,-62
9,16,12500,-62
9,17,12500,-62
9,18,12500,-63
9,19,12500,-62
9,20,14063,-62
10,6,10938,-63
10,7,10937,-63
10,8,9375,-63
10,9,9375,-63
10,10,10937,-63
10,11,10938,-63
10,12,10937,-63
10,13,9375,-63
10,14,10938,-63
10,15,9375,-62
10,16,10938,-62
10,17,10938,-62
10,18,10937,-62
10,19,12500,-62
10,20,10938,-62
11,6,9375,-62
11,7,10937,-62
11,8,9375,-62
11,9,9375,-62
11,10,9375,-62
11,11,7812,-62
11,12,10937,-62
11,13,9375,-62
11,14,9375,-62
11,15,9375,-62
11,16,7813,-62
11,17,9375,-62
11,18,9375,-62
11,19,10937,-62
11,20,9375,-62
12,6,10937,-62
12,7,9375,-62
12,8,10937,-62
12,9,9375,-62
12,10,7812,-62
12,11,9375,-62
12,12,9375,-62
12,13,9375,-62
12,14,9375,-62
12,15,10938,-62
12,16,9375,-62
12,17,21875,-62
12,18,9375,-62
12,19,7813,-62
12,20,7812,-62
13,6,7812,-62
13,7,9375,-62
13,8,9375,-62
13,9,9375,-62
13,10,9375,-62
13,11,9375,-62
13,12,9375,-62
13,13,7813,-62
13,14,21875,-62
13,15,7812,-62
13,16,9375,-62
13,17,9375,-62
13,18,9375,-62
13,19,9375,-62
13,20,21875,-62
14,6,7812,-62
14,7,9375,-62
14,8,21875,-62
14,9,9375,-62
14,10,7812,-62
14,11,9375,-62
14,12,10938,-62
14,13,9375,-62
14,14,9375,-62
14,15,9375,-62
14,16,7813,-62
14,17,9375,-62
14,18,9375,-62
14,19,9375,-62
14,20,10938,-62
15,6,9375,-62
15,7,9375,-62
15,8,10937,-62
15,9,9375,-62
15,10,10937,-62
15,11,10938,-62
15,12,9375,-62
15,13,10937,-62
15,14,10938,-62
15,15,9375,-62
15,16,9375,-62
15,17,9375,-62
15,18,9375,-62
15,19,9375,-62
15,20,9375,-62
16,6,10937,-62
16,7,10938,-62
16,8,10938,-62
16,9,9375,-62
16,10,9375,-62
16,11,10938,-62
16,12,10937,-62
16,13,10938,-62
16,14,10938,-62
16,15,9375,-62
16,16,9375,-62
16,17,9375,-62
16,18,9375,-62
16,19,9375,-62
16,20,10938,-62
17,6,9375,-62
17,7,9375,-62
17,8,9375,-62
17,9,9375,-62
17,10,9375,-62
17,11,10937,-62
17,12,34375,-62
17,13,9375,-62
17,14,10938,-62
17,15,9375,-62
17,16,9375,-62
17,17,9375,-62
17,18,9375,-62
17,19,9375,-62
17,20,10938,-62
18,6,7813,-62
18,7,10937,-62
18,8,9375,-62
18,9,23437,-62
18,10,9375,-62
18,11,10938,-62
18,12,10937,-62
18,13,10937,-62
18,14,23437,-62
18,15,9375,-62
18,16,21875,-62
18,17,9375,-62
18,18,7812,-62
18,19,9375,-62
18,20,9375,-62
19,6,9375,-62
19,7,9375,-62
19,8,9375,-62
19,9,9375,-62
19,10,9375,-62
19,11,9375,-62
19,12,9375,-62
19,13,9375,-62
19,14,9375,-62
19,15,9375,-62
19,16,9375,-62
19,17,9375,-62
19,18,9375,-62
19,19,7813,-62
19,20,9375,-62
20,6,9375,-62
20,7,9375,-62
20,8,9375,-62
20,9,9375,-62
20,10,9375,-62
20,11,7812,-62
20,12,21875,-62
20,13,9375,-62
20,14,9375,-62
20,15,7813,-62
20,16,7812,-62
20,17,6250,-62
20,18,9375,-62
20,19,9375,-62
20,20,7812,-62
21,6,9375,-62
21,7,10938,-62
21,8,9375,-62
21,9,9375,-62
21,10,23437,-62
21,11,21875,-62
21,12,10938,-62
21,13,10937,-62
21,14,23437,-62
21,15,9375,-62
21,16,23438,-62
21,17,9375,-62
21,18,9375,-62
21,19,10938,-62
21,20,9375,-62
22,6,9375,-62
22,7,10937,-62
22,8,10937,-62
22,9,12500,-62
22,10,10937,-62
22,11,10938,-62
22,12,10937,-62
22,13,10937,-62
22,14,12500,-62
22,15,10938,-62
22,16,12500,-62
22,17,10937,-62
22,18,10938,-62
22,19,10937,-62
22,20,10938,-62
23,6,12500,-62
23,7,10938,-62
23,8,12500,-62
23,9,25000,-62
23,10,12500,-62
23,11,12500,-62
23,12,10938,-62
23,13,12500,-62
23,14,25000,-62
23,15,12500,-62
23,16,12500,-62
23,17,10938,-62
23,18,12500,-62
23,19,10938,-62
23,20,12500,-62
24,6,9375,-62
24,7,23438,-62
24,8,12500,-62
24,9,12500,-62
24,10,12500,-62
24,11,10937,-62
24,12,10938,-62
24,13,10937,-62
24,14,23437,-62
24,15,10937,-62
24,16,10938,-62
24,17,10937,-62
24,18,10937,-62
24,19,9375,-62
24,20,10937,-62
25,6,10938,-62
25,7,10937,-62
25,8,12500,-62
25,9,10937,-62
25,10,10938,-62
25,11,23438,-62
25,12,10937,-62
25,13,25000,-62
25,14,12500,-62
25,15,10937,-62
25,16,10937,-62
25,17,10938,-62
25,18,10937,-62
25,19,12500,-62
25,20,12500,-62
26,6,10938,-62
26,7,10937,-62
