index,dist_est,rtt_est,rtt_raw
1,915,61,61
2,855,57,57
3,855,57,57
4,990,66,66
5,885,59,59
6,915,61,61
7,885,59,59
8,915,61,61
9,870,58,58
10,960,64,64
11,975,65,65
12,900,60,60
13,885,59,59
14,960,64,64
15,930,62,62
16,900,60,60
17,900,60,60
18,885,59,59
19,900,60,60
20,945,63,63
21,960,64,64
22,915,61,61
23,945,63,63
24,870,58,58
25,885,59,59
26,810,54,54
27,840,56,56
28,825,55,55
29,870,58,58
30,900,60,60
31,855,57,57
32,960,64,64
33,975,65,65
34,1005,67,67
35,915,61,61
36,1080,72,72
37,1005,67,67
38,930,62,62
39,885,59,59
40,1020,68,68
41,1455,97,97
42,1440,96,96
43,1170,78,78
44,990,66,66
45,1365,91,91
46,840,56,56
47,885,59,59
48,975,65,65
49,990,66,66
50,900,60,60
51,990,66,66
52,975,65,65
53,930,62,62
54,885,59,59
55,1140,76,76
56,930,62,62
57,975,65,65
58,1035,69,69
59,975,65,65
60,915,61,61
61,945,63,63
62,960,64,64
63,945,63,63
64,960,64,64
65,975,65,65
66,960,64,64
67,990,66,66
68,975,65,65
69,975,65,65
70,915,61,61
71,960,64,64
72,975,65,65
73,975,65,65
74,930,62,62
75,975,65,65
76,885,59,59
77,900,60,60
78,900,60,60
79,915,61,61
80,915,61,61
81,945,63,63
82,915,61,61
83,855,57,57
84,930,62,62
85,930,62,62
86,855,57,57
87,855,57,57
88,795,53,53
