index_main,token,rtt,rssi
1,6,59375,-67
1,7,59375,-67
1,8,57813,-67
1,9,57812,-67
1,10,70313,-67
1,11,57812,-67
1,12,59375,-67
1,13,59375,-67
1,14,70312,-67
1,15,59375,-67
1,16,60938,-67
1,17,71875,-67
1,18,57812,-67
1,19,59375,-67
1,20,57813,-67
2,6,54688,-68
2,7,56250,-68
2,8,56250,-68
2,9,54688,-68
2,10,68750,-68
2,11,56250,-68
2,12,54688,-68
2,13,54687,-68
2,14,54688,-68
2,15,67187,-67
2,16,56250,-67
2,17,54687,-67
2,18,54688,-67
2,19,68750,-67
2,20,56250,-68
3,6,51562,-69
3,7,64062,-69
3,8,64062,-69
3,9,51563,-69
3,10,51562,-69
3,11,65625,-69
3,12,65625,-69
3,13,53125,-69
3,14,53125,-69
3,15,56250,-69
3,16,56250,-68
3,17,56250,-69
3,18,56250,-68
3,19,57813,-68
3,20,56250,-68
4,6,67188,-66
4,7,65625,-66
4,8,65625,-66
4,9,65625,-66
4,10,65625,-66
4,11,65625,-66
4,12,65625,-66
4,13,65625,-66
4,14,65625,-66
4,15,65625,-66
4,16,62500,-66
4,17,64062,-65
4,18,78125,-66
4,19,64062,-66
4,20,65625,-66
5,6,59375,-68
5,7,68750,-68
5,8,56250,-68
5,9,57812,-68
5,10,56250,-68
5,11,56250,-68
5,12,54688,-68
5,13,57813,-68
5,14,56250,-68
5,15,56250,-68
5,16,56250,-68
5,17,67187,-68
5,18,68750,-68
5,19,56250,-68
5,20,57812,-68
6,6,60938,-67
6,7,60938,-67
6,8,62500,-67
6,9,62500,-66
6,10,62500,-66
6,11,60938,-66
6,12,62500,-67
6,13,62500,-67
6,14,60938,-67
6,15,67188,-68
6,16,67187,-68
6,17,54688,-68
6,18,67188,-68
6,19,54687,-68
6,20,53125,-68
7,6,57813,-69
7,7,54687,-68
7,8,57812,-68
7,9,56250,-68
7,10,56250,-68
7,11,56250,-68
7,12,56250,-68
7,13,56250,-68
7,14,57812,-68
7,15,60937,-67
7,16,60937,-67
7,17,60938,-67
7,18,73437,-67
7,19,60938,-67
7,20,71875,-67
8,6,59375,-67
8,7,60938,-67
8,8,62500,-66
8,9,60938,-66
8,10,60938,-66
8,11,62500,-66
8,12,62500,-66
8,13,60938,-66
8,14,60937,-66
8,15,62500,-66
8,16,60938,-67
8,17,60938,-67
8,18,60937,-66
8,19,60937,-66
8,20,62500,-66
9,6,54688,-67
9,7,57813,-66
9,8,59375,-67
9,9,59375,-67
9,10,59375,-66
9,11,59375,-66
9,12,59375,-67
9,13,59375,-66
9,14,59375,-67
9,15,59375,-67
9,16,60938,-67
9,17,57813,-67
9,18,57813,-67
9,19,57812,-67
9,20,59375,-67
10,6,64062,-66
10,7,64063,-65
10,8,62500,-65
10,9,62500,-65
10,10,75000,-66
10,11,60937,-65
10,12,64062,-65
10,13,64062,-65
10,14,64063,-66
10,15,62500,-65
10,16,62500,-65
10,17,64062,-65
10,18,62500,-65
10,19,64063,-66
10,20,64062,-65
11,6,71875,-66
11,7,64062,-66
11,8,62500,-66
11,9,73438,-66
11,10,62500,-66
11,11,62500,-67
11,12,60938,-66
11,13,62500,-66
11,14,60937,-66
11,15,62500,-66
11,16,60938,-65
11,17,73437,-66
11,18,75000,-66
11,19,60938,-66
11,20,60937,-66
12,6,57812,-68
12,7,59375,-68
12,8,56250,-67
12,9,59375,-67
12,10,57812,-67
12,11,59375,-68
12,12,59375,-67
12,13,59375,-67
12,14,59375,-67
12,15,59375,-67
12,16,60938,-67
12,17,62500,-67
12,18,62500,-67
12,19,60938,-67
12,20,73437,-67
13,6,57812,-68
13,7,60938,-68
13,8,59375,-68
13,9,59375,-68
13,10,60938,-68
13,11,60937,-68
13,12,59375,-68
13,13,60938,-68
13,14,60937,-68
13,15,59375,-67
13,16,59375,-67
13,17,59375,-67
13,18,59375,-67
13,19,60937,-67
13,20,59375,-67
14,6,64063,-67
14,7,64062,-67
14,8,64063,-66
14,9,64063,-66
14,10,64062,-66
14,11,62500,-66
14,12,62500,-67
14,13,75000,-67
14,14,62500,-67
14,15,59375,-67
14,16,60938,-67
14,17,59375,-67
14,18,60937,-67
14,19,73438,-67
14,20,73438,-67
15,6,59375,-68
15,7,60937,-67
15,8,60938,-67
15,9,60937,-67
15,10,70313,-67
15,11,60938,-67
15,12,73438,-67
15,13,60937,-67
15,14,60937,-67
15,15,60938,-67
15,16,60938,-67
15,17,59375,-67
15,18,60937,-67
15,19,60938,-67
15,20,60937,-67
16,6,59375,-68
16,7,57812,-67
16,8,59375,-67
16,9,59375,-67
16,10,60938,-67
16,11,59375,-66
16,12,59375,-67
16,13,60938,-67
16,14,59375,-67
16,15,59375,-66
16,16,60938,-67
16,17,60938,-66
16,18,73437,-66
16,19,60938,-66
16,20,62500,-67
17,7,60938,-67
17,8,60938,-67
17,9,60937,-67
17,10,60937,-68
17,11,60938,-68
17,12,59375,-68
17,13,60937,-68
17,14,60938,-67
17,15,60938,-67
17,16,60938,-67
17,17,60937,-67
17,18,59375,-67
17,19,60938,-67
17,20,62500,-67
18,6,57812,-67
18,7,59375,-67
18,8,57812,-67
18,9,60937,-67
18,10,59375,-67
18,11,59375,-67
18,12,59375,-67
18,13,59375,-67
18,14,59375,-67
18,15,71875,-67
18,16,59375,-67
18,17,59375,-67
18,18,57812,-67
18,19,60937,-67
18,20,57812,-67
19,6,54687,-67
19,7,56250,-67
19,8,68750,-67
19,9,56250,-67
19,10,57813,-67
19,11,54688,-67
19,12,56250,-67
19,13,56250,-67
19,14,57812,-67
19,15,59375,-67
19,16,70312,-66
19,17,60937,-67
19,18,70313,-66
19,19,60938,-67
19,20,59375,-66
20,6,62500,-66
20,7,60937,-66
20,8,62500,-66
20,9,62500,-66
20,10,62500,-66
20,11,62500,-66
20,12,62500,-66
20,13,75000,-66
20,14,62500,-66
20,15,65625,-65
20,16,64062,-65
21,6,64062,-66
21,7,62500,-66
21,8,62500,-66
21,9,64062,-66
21,10,64062,-66
21,11,62500,-66
21,12,75000,-65
21,13,64062,-66
21,14,62500,-66
21,15,60937,-66
21,16,59375,-66
21,17,60938,-66
21,18,60937,-66
21,19,73438,-66
21,20,71875,-67
22,6,60938,-68
22,7,59375,-68
22,8,59375,-68
22,9,59375,-68
22,10,59375,-68
22,11,59375,-68
22,12,59375,-68
22,13,59375,-68
22,14,59375,-68
22,15,59375,-68
22,16,59375,-68
22,17,71875,-68
22,18,59375,-68
22,19,59375,-68
22,20,71875,-68
23,6,60937,-67
23,7,60938,-67
23,8,60937,-67
23,9,62500,-66
23,10,60938,-67
23,11,62500,-66
23,12,60937,-66
23,13,62500,-66
23,14,73437,-66
23,15,62500,-67
23,16,73438,-67
23,17,60938,-67
23,18,60937,-67
23,19,60938,-67
23,20,62500,-67
24,6,56250,-69
24,7,68750,-69
24,8,56250,-69
24,9,68750,-69
24,10,56250,-69
24,11,54688,-69
24,12,56250,-69
24,13,56250,-69
24,14,56250,-69
24,15,67188,-69
24,16,67187,-69
24,17,54687,-69
24,18,54688,-69
24,19,56250,-69
24,20,54687,-69
25,6,57812,-69
25,7,57813,-68
25,8,57813,-68
25,9,56250,-68
25,10,56250,-68
25,11,57813,-68
25,12,57812,-68
25,13,57812,-68
25,14,57813,-68
25,15,59375,-67
25,16,59375,-67
25,17,60937,-67
25,18,59375,-67
25,19,59375,-67
25,20,71875,-67
26,6,51563,-68
26,7,54687,-68
26,8,54687,-68
26,9,54688,-68
26,10,54688,-68
26,11,54687,-68
26,12,54688,-68
26,13,54688,-68
26,14,54687,-68
26,15,56250,-68
26,16,56250,-67
26,17,56250,-68
26,18,54688,-68
26,19,54688,-68
26,20,54687,-68
27,6,54687,-68
27,7,54688,-68
27,8,54688,-68
27,9,54687,-68
27,10,56250,-68
27,11,68750,-68
27,12,56250,-68
27,13,53125,-68
27,14,56250,-68
27,15,56250,-68
27,16,54688,-68
27,17,56250,-68
27,18,54687,-68
27,19,54688,-68
27,20,54688,-68
28,6,56250,-68
28,7,56250,-68
28,8,56250,-68
28,9,57812,-68
28,10,56250,-68
28,11,56250,-68
28,12,56250,-68
28,13,57812,-68
28,14,56250,-68
28,15,54687,-68
28,16,54688,-68
28,17,54688,-68
28,18,54687,-68
28,19,56250,-68
28,20,54688,-68
29,6,57812,-68
29,7,57813,-68
29,8,54688,-68
29,9,54688,-68
29,10,67187,-68
29,11,56250,-68
29,12,54688,-68
29,13,56250,-68
29,14,57812,-68
29,15,56250,-68
29,16,56250,-68
29,17,70312,-68
29,18,56250,-68
29,19,70312,-68
29,20,56250,-68
30,6,59375,-68
30,7,57812,-68
30,8,57812,-68
30,9,70312,-68
30,10,57812,-68
30,11,57812,-68
30,12,59375,-68
30,13,56250,-68
30,14,57812,-68
30,15,68750,-68
30,16,57812,-68
30,17,57812,-68
30,18,57813,-68
30,19,70313,-68
30,20,57813,-68
31,6,54688,-69
31,7,54688,-69
31,8,54688,-69
31,9,53125,-69
31,10,54688,-69
31,11,56250,-69
31,12,67187,-69
31,13,67188,-69
31,14,54687,-69
31,15,57812,-69
31,16,57812,-69
31,17,57813,-69
31,18,57813,-69
31,19,56250,-69
31,20,56250,-69
32,6,64063,-67
32,7,64063,-65
32,8,65625,-65
32,9,64062,-65
32,10,64062,-65
32,11,65625,-65
32,12,62500,-65
32,13,64062,-66
32,14,62500,-65
32,15,75000,-66
32,16,64062,-66
32,17,64062,-67
32,18,62500,-66
32,19,64063,-66
32,20,64062,-67
33,6,60937,-65
33,7,59375,-65
33,8,59375,-65
33,9,60938,-65
33,10,62500,-65
33,11,73437,-65
33,12,60938,-65
33,13,60938,-65
33,14,60937,-65
33,15,68750,-69
33,16,68750,-69
33,17,81250,-69
33,18,68750,-69
33,19,68750,-69
33,20,68750,-69
34,6,57812,-71
34,7,67188,-71
34,8,67187,-71
34,9,67188,-70
34,10,67188,-70
34,11,79687,-70
34,12,78125,-70
34,13,76563,-70
34,14,64063,-70
34,15,65625,-71
34,16,64062,-71
34,17,64062,-71
34,18,64062,-71
34,19,64063,-71
34,20,67187,-71
35,6,60938,-65
35,7,59375,-66
35,8,71875,-65
35,9,59375,-65
35,10,57813,-65
35,11,60938,-65
35,12,59375,-65
35,13,73437,-65
35,14,71875,-65
35,15,59375,-67
35,16,59375,-66
35,17,57813,-66
35,18,59375,-66
35,19,57812,-66
35,20,59375,-66
36,6,68750,-70
36,7,70312,-70
36,8,70312,-69
36,9,70313,-70
36,10,68750,-69
36,11,70312,-69
36,12,70313,-69
36,13,68750,-69
36,14,82812,-70
36,15,70312,-69
36,16,71875,-69
36,17,71875,-69
36,18,71875,-69
36,19,71875,-69
36,20,82813,-69
37,6,65625,-66
37,7,71875,-66
37,8,59375,-67
37,9,57812,-66
37,10,71875,-66
37,11,59375,-66
37,12,60938,-66
37,13,59375,-66
37,14,59375,-67
37,15,71875,-72
37,16,71875,-72
37,17,73438,-72
37,18,71875,-72
37,19,84375,-72
37,20,73438,-71
38,6,62500,-68
38,7,62500,-69
38,8,62500,-69
38,9,62500,-69
38,10,60938,-69
38,11,60937,-69
38,12,62500,-69
38,13,62500,-69
38,14,62500,-68
38,15,62500,-65
38,16,62500,-65
38,17,60938,-65
38,18,60938,-65
38,19,73437,-65
38,20,60937,-65
39,6,56250,-67
39,7,59375,-66
39,8,70312,-66
39,9,56250,-67
39,10,56250,-67
39,11,57812,-67
39,12,59375,-67
39,13,57813,-68
39,14,59375,-68
39,15,56250,-66
39,16,57812,-67
39,17,57813,-66
39,18,68750,-67
39,19,57812,-67
39,20,57813,-66
40,6,68750,-69
40,7,73438,-68
40,8,84375,-68
40,9,71875,-68
40,10,71875,-68
40,11,70313,-68
40,12,71875,-68
40,13,70312,-68
40,14,71875,-68
40,15,62500,-68
40,16,62500,-68
40,17,62500,-67
40,18,64063,-67
40,19,60938,-67
40,20,62500,-67
41,6,96875,-78
41,7,93750,-77
41,8,96875,-77
41,9,96875,-77
41,10,96875,-77
41,11,98438,-77
41,12,96875,-77
41,13,96875,-77
41,14,98438,-77
41,15,100000,-75
41,16,98438,-75
41,17,100000,-74
41,18,100000,-74
41,19,96875,-74
41,20,98438,-74
42,6,92188,-77
42,7,93750,-78
42,8,93750,-78
42,9,95312,-78
42,10,93750,-78
42,11,96875,-78
42,12,93750,-78
42,13,95313,-78
42,14,95313,-78
42,15,106250,-77
42,16,106250,-77
42,17,90625,-77
42,18,90625,-77
42,19,92187,-77
42,20,104687,-77
43,6,75000,-72
43,7,90625,-72
43,8,78125,-72
43,9,76562,-72
43,10,76562,-72
43,11,78125,-72
43,12,75000,-72
43,13,76562,-72
43,14,78125,-72
43,15,89062,-70
43,16,76562,-70
43,17,78125,-70
43,18,76562,-70
43,19,75000,-70
43,20,76563,-70
44,6,67188,-70
44,7,64063,-70
44,8,76562,-70
44,9,64062,-70
44,10,65625,-70
44,11,64063,-70
44,12,64062,-70
44,13,65625,-70
44,14,65625,-70
44,15,76562,-69
44,16,64063,-69
44,17,65625,-69
44,18,64062,-69
44,19,65625,-69
44,20,62500,-69
45,6,82812,-73
45,7,89062,-74
45,8,87500,-73
45,9,85937,-73
45,10,89062,-74
45,11,87500,-74
45,12,89063,-74
45,13,87500,-74
45,14,90625,-74
45,15,96875,-75
45,16,96875,-75
45,17,96875,-75
45,18,98437,-75
45,19,98438,-75
45,20,98437,-75
46,6,60937,-69
46,7,59375,-68
46,8,57813,-68
46,9,70313,-68
46,10,57812,-68
