index_main,token,rtt,rssi
1,6,120313,-71
1,8,134375,-71
1,9,121875,-71
1,10,132813,-71
1,11,120312,-71
1,12,134375,-71
1,13,135938,-71
1,14,121875,-71
1,15,110938,-72
1,16,110937,-72
1,17,110938,-72
1,18,112500,-72
1,19,110938,-72
1,20,110938,-72
2,6,70313,-69
2,7,67187,-67
2,8,67188,-66
2,9,68750,-67
2,10,68750,-67
2,11,71875,-67
2,12,71875,-67
2,13,73438,-68
2,14,75000,-68
2,15,120312,-71
2,16,104688,-71
2,17,107813,-71
2,18,106250,-71
2,20,123438,-71
3,6,73438,-70
3,7,60937,-69
3,8,60938,-69
3,9,62500,-69
3,10,75000,-69
3,11,64063,-69
3,12,65625,-69
3,13,65625,-69
3,14,68750,-69
3,15,59375,-68
3,16,60937,-68
3,17,62500,-68
3,18,64063,-68
3,19,65625,-68
3,20,67188,-68
4,6,64062,-70
4,7,56250,-70
4,8,56250,-70
4,9,53125,-71
4,10,53125,-71
4,11,65625,-70
4,12,64063,-70
4,13,65625,-70
4,14,68750,-70
4,15,70313,-70
4,16,59375,-70
4,17,59375,-70
4,18,59375,-70
4,19,59375,-70
4,20,59375,-70
5,6,82813,-70
5,7,76563,-69
5,8,76562,-69
5,9,89063,-69
5,10,76562,-69
5,11,75000,-69
5,12,90625,-69
5,13,89063,-69
5,14,76562,-69
5,15,89062,-70
5,16,75000,-70
5,17,75000,-70
5,18,76562,-70
5,19,76563,-70
5,20,76562,-70
6,6,65625,-70
6,7,68750,-70
6,8,79687,-70
6,9,67188,-70
6,10,67187,-70
6,11,67188,-70
6,12,68750,-70
6,13,67188,-70
6,14,67187,-70
6,15,73437,-70
6,16,71875,-70
6,17,75000,-70
6,18,71875,-70
6,19,73437,-70
6,20,73438,-70
7,6,79687,-69
7,7,76563,-69
7,8,78125,-69
7,9,78125,-69
7,10,78125,-69
7,11,78125,-69
7,12,78125,-69
7,13,78125,-69
7,14,78125,-69
7,15,68750,-69
7,16,70312,-69
7,17,70312,-69
7,18,70313,-69
7,19,70312,-69
7,20,68750,-69
8,6,75000,-69
8,7,87500,-69
8,8,75000,-69
