index_main,token,rtt,rssi
1,6,125000,-76
1,7,135938,-76
1,8,125000,-75
1,9,125000,-76
1,10,126562,-75
1,11,123438,-75
1,12,123438,-75
1,13,125000,-75
1,14,123438,-76
1,15,118750,-76
1,16,135938,-76
1,17,132812,-76
1,18,121875,-76
1,19,121875,-76
1,20,121875,-76
2,6,114063,-74
2,7,142188,-75
2,8,129687,-75
2,9,129688,-75
2,10,132813,-75
2,11,135937,-75
2,12,137500,-75
2,13,139063,-76
2,14,142188,-76
2,15,146875,-79
2,16,148437,-79
2,17,135938,-79
2,18,137500,-79
2,19,137500,-79
2,20,135937,-79
3,6,110938,-75
3,7,109375,-76
3,8,110937,-76
3,9,107813,-76
3,10,107813,-76
3,11,109375,-76
3,12,109375,-76
3,13,107813,-75
3,14,107812,-75
3,15,110938,-74
3,16,121875,-74
3,17,109375,-74
3,18,123437,-74
3,19,109375,-74
3,20,109375,-74
4,6,137500,-76
4,7,123437,-76
4,8,137500,-76
4,9,123437,-76
4,10,123438,-76
4,11,123437,-76
4,12,123437,-76
4,13,137500,-76
4,14,125000,-76
4,15,135937,-75
4,16,121875,-75
4,17,123437,-75
4,18,126562,-76
4,19,129687,-76
4,20,129687,-76
5,6,115625,-76
5,7,126562,-77
5,8,128125,-77
5,9,128125,-77
5,10,140625,-77
5,11,129688,-77
5,12,128125,-77
5,13,131250,-77
5,14,129687,-77
5,15,120312,-77
5,16,132813,-78
5,17,120313,-78
5,18,118750,-78
5,19,134375,-77
5,20,123437,-78
6,6,129687,-78
6,7,135938,-78
6,8,134375,-78
6,9,135938,-79
6,10,134375,-78
6,11,135938,-79
6,12,134375,-78
6,13,134375,-79
6,14,135937,-79
6,15,134375,-79
6,16,139063,-79
6,17,134375,-79
6,18,135937,-79
6,19,135938,-79
6,20,148438,-79
7,6,129688,-79
7,7,132812,-79
7,8,132812,-79
7,9,143750,-79
7,10,131250,-79
7,11,131250,-79
7,12,132812,-79
7,13,129687,-79
7,14,132812,-79
7,15,134375,-78
7,16,135938,-78
7,17,134375,-78
7,18,137500,-78
7,19,135937,-78
7,20,134375,-78
8,6,139062,-80
8,7,143750,-79
8,8,151563,-79
8,9,142188,-79
8,10,139062,-79
8,11,140625,-79
8,12,140625,-79
8,13,142188,-78
8,14,140625,-79
8,15,140625,-79
8,16,140625,-79
8,17,142188,-79
8,18,140625,-79
8,19,140625,-79
8,20,140625,-79
9,6,131250,-78
9,7,123438,-77
9,8,125000,-77
9,9,132813,-77
9,10,125000,-78
9,11,125000,-77
9,12,123437,-77
9,13,123437,-78
9,14,120312,-77
9,15,109375,-77
9,16,109375,-78
9,17,110937,-78
9,18,112500,-78
9,19,110937,-78
9,20,109375,-78
10,6,120312,-79
10,7,121875,-79
10,8,123438,-79
10,9,121875,-79
10,10,121875,-79
10,11,135937,-78
10,12,121875,-79
10,13,123438,-79
10,14,125000,-79
10,15,125000,-79
10,16,125000,-79
10,17,128125,-79
10,18,125000,-79
10,19,125000,-80
10,20,135937,-79
11,6,120312,-77
11,7,121875,-78
11,8,121875,-78
11,9,132813,-78
11,10,134375,-78
11,11,123437,-78
11,12,123437,-78
11,13,134375,-78
11,14,125000,-78
11,15,125000,-78
11,16,121875,-78
11,17,123437,-79
11,18,123438,-78
11,19,123437,-78
11,20,121875,-79
12,6,131250,-78
12,7,131250,-79
12,8,145313,-79
12,9,131250,-79
12,10,134375,-79
12,11,143750,-79
12,12,135937,-79
12,13,131250,-79
12,14,134375,-79
12,15,137500,-78
12,16,137500,-78
12,17,139062,-78
12,18,139063,-79
12,19,135937,-78
12,20,139062,-79
13,6,137500,-79
13,7,153125,-78
13,8,139062,-78
13,10,139062,-78
13,11,151563,-78
13,12,137500,-78
13,13,139063,-78
13,14,153125,-78
13,15,140625,-79
13,16,140625,-78
13,17,140625,-78
13,18,142188,-79
13,19,139063,-78
13,20,139063,-78
14,6,143750,-79
14,7,160937,-79
14,8,140625,-79
14,9,142187,-79
14,10,143750,-79
14,11,143750,-79
14,12,143750,-79
14,13,143750,-79
14,14,143750,-79
14,15,146875,-79
14,16,146875,-79
14,17,146875,-79
14,18,145313,-79
14,19,146875,-79
14,20,145312,-80
15,6,157813,-79
15,7,150000,-79
15,8,153125,-80
15,9,145312,-80
15,10,160938,-80
15,11,148437,-80
15,12,150000,-79
15,13,148438,-79
15,14,148438,-80
15,15,148437,-79
15,16,160937,-79
15,17,148437,-79
15,18,145313,-79
15,19,148438,-79
15,20,146875,-79
16,6,145312,-77
16,7,146875,-77
16,8,148438,-77
16,9,148437,-77
16,10,146875,-77
16,11,146875,-77
16,12,150000,-77
16,13,160937,-77
16,14,159375,-77
16,15,154687,-78
16,16,154687,-78
16,17,157813,-78
16,18,157812,-78
16,19,154688,-78
16,20,156250,-78
17,6,150000,-75
17,7,142187,-76
17,8,140625,-76
17,9,142187,-76
17,10,143750,-76
17,11,143750,-76
17,12,156250,-76
17,13,143750,-76
17,14,156250,-76
17,15,140625,-77
17,16,145313,-76
17,17,126563,-76
17,18,129687,-76
17,19,128125,-76
17,20,129687,-76
18,6,115625,-76
18,7,109375,-75
18,8,98438,-75
18,9,98437,-75
18,10,95313,-75
18,11,98437,-75
18,12,109375,-75
18,13,98438,-75
18,14,96875,-74
18,15,142187,-79
18,16,140625,-79
18,17,153125,-79
18,18,139062,-78
18,19,140625,-79
18,20,142187,-79
19,6,159375,-79
19,7,171875,-79
19,8,156250,-79
19,9,160937,-79
19,10,160938,-79
19,11,160938,-79
19,12,157812,-79
19,13,160937,-79
19,14,157812,-79
19,15,123438,-77
19,16,121875,-77
19,17,121875,-77
